13,"Капуста квашеная Белоручка шинкованная с морковью и дикой ягодой, 500 г",109.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-beloruchka-shinkovannaya-s-morkovyu-i-dikoy-yagodoy-500-g/,Без скидки
14,"Апельсины отборные, 1 кг",183.99 руб,за 1 кг,https://online.globus.ru/products/apelsiny-otbornye-1-kg/,Без скидки
15,"Огурцы солёные ФЭГ корнишоны, 500 г",99.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-solenye-feg-kornishony-500-g/,Без скидки
16,"Картофель мытый Бэйби Дмитровские овощи, 2 кг",165.99 руб,за 1 шт.,https://online.globus.ru/products/kartofel-mytyy-bebi-2-kg/,Без скидки
17,"Слива сезонная, 1 кг",169.99 руб,за 1 кг,https://online.globus.ru/products/sliva-sezonnaya-1-kg/,Без скидки
18,"Кинза, 100 г",104.99 руб,за 1 шт.,https://online.globus.ru/products/kinza-bogoslovo-argo-100-g/,Без скидки
19,"Голубика в шейкере, 250 г",239.99 руб,за 1 шт.,https://online.globus.ru/products/golubika-v-sheykere-250-g/,Без скидки
20,"Томаты черри красные Рост Flamenco, 250 г",139.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-krasnye-cherri-rost-flamenco-250-g/,Без скидки
21,"Капуста квашеная Белоручка Фитнес без содержания сахара, 500 г",114.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-beloruchka-fitnes-500-g/,Без скидки
22,Перец сладкий жёлтый 110-350 г,399.99 руб,за 1 кг,https://online.globus.ru/products/perets-zheltyy-1-kg/,Без скидки
23,"Капуста квашеная ФЭГ с морковью и клюквой, 800 г",166.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashennaya-feg-s-morkovyu-i-klyukvoy-800-g/,Без скидки
24,"Яблоки Гольден Делишес, 1 кг",169.99 руб,за 1 кг,https://online.globus.ru/products/yabloki-golden-delishes-fasovannye-1-kg/,Без скидки
25,"Сельдерей стебли, 200-500 г",59.99 руб,за 1 уп.,https://online.globus.ru/products/selderey-stebli/,Без скидки
26,"Огурцы среднеплодные гладкие Глобус, 600 г",89.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-sredneplodnye-globus-gladkie-600-g/,Без скидки
27,"Ассорти овощное томаты-огурцы Глобус, 600 г",99.99 руб,за 1 шт.,https://online.globus.ru/products/assorti-ovoshchnoe-ogurets-i-tomat-globus-600-g/,Без скидки
28,"Томаты Глобус, 600 г",119.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-globus-600-g/,Без скидки
29,"Картофель белый Глобус Вита, 2 кг",99.99 руб,за 1 шт.,https://online.globus.ru/products/kartofel-belyy-globus-vita-2-kg/,Со скидкой
30,"Картофель красный Глобус Вита, 2 кг",99.99 руб,за 1 шт.,https://online.globus.ru/products/kartofel-krasnyy-globus-vita-2-kg/,Со скидкой
31,"Томаты черри коктейльные ЭкоКультура Жардилес на ветке, 450 г",289.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-cherri-kokteyl-ekokultura-na-vetke-450-g/,Без скидки
32,"Морковь мытая, в пакете, 1 кг",49.99 руб,за 1 шт.,https://online.globus.ru/products/morkov-mytaya-v-pakete-1-kg/,Без скидки
33,"Салатный микс Тоскана Белая Дача Фриссе, романо, радиччо, 200 г",229.99 руб,за 1 шт.,https://online.globus.ru/products/salatnyy-miks-toskana-belaya-dacha-200-g/,Без скидки
34,"Огурцы солёные Глобус, 1000 г",169.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-solenye-globus-1000-g/,Без скидки
35,"Петрушка ЛоКарно, 100 г",65.99 руб,за 1 шт.,https://online.globus.ru/products/petrushka-100-g/,Без скидки
36,"Петрушка Глобус, 50 г",31.99 руб,за 1 шт.,https://online.globus.ru/products/petrushka-globus-50-g/,Со скидкой
37,"Манго, 1 шт.",149.99 руб,за 1 шт.,https://online.globus.ru/products/mango-1-sht/,Без скидки
38,Базилик зелёный Агрохолдинг Московский в горшочке,79.99 руб,за 1 шт.,https://online.globus.ru/products/bazilik-zelenyy-agrokholding-moskovskiy-v-gorshochke/,Без скидки
39,"Капуста квашеная ФЭГ с морковью, 700 г",153.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-feg-s-morkovyu-plast-700-g/,Без скидки
40,"Бананы мини, 1 кг",259.99 руб,за 1 кг,https://online.globus.ru/products/banany-mini-1-kg/,Без скидки
41,"Рукола Глобус, 100 г",169.99 руб,за 1 шт.,https://online.globus.ru/products/rukola-globus-100-g/,Без скидки
42,"Огурцы короткоплодные Выборжец Кураж, 450 г",142.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-kurazh-vyborzhets-450-g/,Без скидки
43,"Томаты черри Рост Премиум красные, 250 г",169.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-cherri-rost-premium-krasnye-250-g/,Без скидки
44,"Апельсины отборные в сетке уп, 1,4-1,9 кг",203.99 руб,за 1 кг,https://online.globus.ru/products/apelsiny-otbornye-fasovannye-1-upakovka-1-75-2-2-kg/,Без скидки
45,"Капуста белокочанная 1,1-3,7 кг",16.99 руб,за 1 кг,https://online.globus.ru/products/kapusta-belokochannaya-1-1-3-7-kg/,Без скидки
46,"Ананас 1,8-2,4 кг",199.99 руб,за 1 кг,https://online.globus.ru/products/ananas-1-8-2-4-kg/,Без скидки
47,"Морковь, 1 кг",16.99 руб,за 1 кг,https://online.globus.ru/products/morkov-1-kg/,Без скидки
,Название,Цена,Граммовка,Ссылка,Скидка
0,"Голубика Agrofamily, 400 г",449.99 руб,за 1 шт.,https://online.globus.ru/products/golubika-agrofamily-400-g/,Без скидки
1,"Огурцы малосольные ФЭГ, 1 кг",219.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-malosolnye-feg-1-kg/,Со скидкой
2,"Рукола Фруктовая почта, 125 г",101.99 руб,за 1 шт.,https://online.globus.ru/products/rukola-fruktovaya-pochta-125-g/,Без скидки
3,"Лук зелёный, 250 г",118.99 руб,за 1 шт.,https://online.globus.ru/products/luk-zelenyy-bogoslovo-argo-250-g/,Без скидки
4,"Картофель для жарки мытый, 3 кг",199.99 руб,за 1 шт.,https://online.globus.ru/products/kartofel-dlya-zharki-tulskaya-niva-mytyy-v-setke-3-kg/,Без скидки
5,"Мандарины отборные фасованные уп, 1,7-2,2 кг",369.99 руб,за 1 кг,https://online.globus.ru/products/mandariny-otbornye-fasovannye-1-upakovka-1-2-1-6-kg/,Без скидки
6,Грейпфрут красный 300-500 г,127.99 руб,за 1 кг,https://online.globus.ru/products/greypfrut-krasnyy-0-300-0-500-kg/,Без скидки
7,"Базилик красный, 30 г",94.99 руб,за 1 шт.,https://online.globus.ru/products/bazilik-bogoslovo-krasnyy-30-g/,Без скидки
8,"Грибы вешенки свежие, 300 г",143.99 руб,за 1 шт.,https://online.globus.ru/products/griby-veshenki-svezhie-300-g/,Без скидки
9,"Томаты сливовидные Агрохолдинг Московский, 600 г",169.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-slivovidnye-moskovskiy-600-g/,Без скидки
10,"Редис, 500 г",94.99 руб,за 1 шт.,https://online.globus.ru/products/redis-befresh-500-g/,Без скидки
11,"Картофель Синеглазка фермерский уп, 4,8-5,2 кг",97.99 руб,за 1 кг,https://online.globus.ru/products/kartofel-sineglazka-fermerskiy-5-kg/,Без скидки
12,"Салат листовой Афицион Novikov в горшочке, 100 г",72.99 руб,за 1 шт.,https://online.globus.ru/products/salat-listovoy-novikov-v-gorshochke-100-g/,Без скидки
13,"Салат Пряная рукола Белая Дача, 65 г",212.99 руб,за 1 шт.,https://online.globus.ru/products/salat-pryanaya-rukola-belaya-dacha-65-g/,Без скидки
14,"Томаты сливовидные Рост Flamenсo на ветке, 1 кг",199.99 руб,за 1 кг,https://online.globus.ru/products/tomaty-slivovidnye-flamenso-rost-na-vetke-1-kg/,Без скидки
15,"Петрушка, 100 г",53.99 руб,за 1 шт.,https://online.globus.ru/products/petrushka-bogoslovo-argo-100-g/,Без скидки
16,"Хренодер ФЭГ чесночный, 240 г",74.99 руб,за 1 шт.,https://online.globus.ru/products/khrenoder-chesnochnyy-feg-240-g/,Без скидки
17,"Ягодный микс Artfruit голубика, малина, клубника, 300 г",604.99 руб,за 1 шт.,https://online.globus.ru/products/yagodnyy-miks-artfruit-golubika-malina-klubnika-300-g/,Без скидки
18,"Голубика Сердечко, 250 г",384.99 руб,за 1 шт.,https://online.globus.ru/products/golubika-serdechko-250-g/,Без скидки
19,"Кинза ЛоКарно, 50 г",64.99 руб,за 1 шт.,https://online.globus.ru/products/kinza-lokarno-50-g/,Без скидки
20,"Чеснок фермерский, 1 кг",379.99 руб,за 1 кг,https://online.globus.ru/products/chesnok-fermerskiy-1-kg/,Без скидки
21,"Капуста квашеная ФЭГ сладкая, 900 г",164.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-feg-sladkaya-900-g/,Без скидки
22,"Капуста квашеная Глобус сладкая, 500 г",122.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-globus-sladkaya-500-g/,Без скидки
23,"Лук красный, 1 кг",61.99 руб,за 1 кг,https://online.globus.ru/products/luk-krasnyy-1-kg/,Без скидки
24,"Хурма Ромашка, 1 кг",119.99 руб,за 1 кг,https://online.globus.ru/products/khurma-romashka-1-kg/,Без скидки
25,"Салат Tango mix Белая Дача руккола, мангольд, 65 г",248.99 руб,за 1 шт.,https://online.globus.ru/products/salat-tango-mix-belaya-dacha-65-g/,Без скидки
26,"Лук зелёный Глобус, 100 г",53.99 руб,за 1 шт.,https://online.globus.ru/products/luk-zelenyy-globus-100-g/,Без скидки
27,"Гранат сезонный, 1 штука 250-750 г",139.99 руб,за 1 кг,https://online.globus.ru/products/granaty-sezonnye-1-kg/,Без скидки
28,"Капуста маринованная по-московски ФЭГ, 800 г",187.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-feg-po-moskovski-800-g/,Без скидки
29,"Папайя Голд фасованная уп, 600-900 г",769.99 руб,за 1 кг,https://online.globus.ru/products/papayya-gold-1-upakovka-600-900-g/,Без скидки
